Pond,Date,Site,CrucNum,CrucMass,CrucLitDM,CrucAM
DP,2016-06-22,A,13,29.7255,29.7555,29.7293
DP,2016-06-22,B,15,26.9903,27.0099,26.9938
DP,2016-06-22,C,24,29.397,29.4115,29.3994
