Pond,Date,Site,OM.Type,BagNum,BagMass,BagLeafDM,LeafMass,HessDiam,HessArea,LeafStandingStock
DP,2016-06-22,B,T,1,7.3365,113.4,106.0635,32.5,829.576810088555,1278.52537233626
DP,2016-06-22,B,C,2,7.318,7.2972,-0.0207999999999995,32.5,829.576810088555,-0.25073024880938
DP,2016-06-22,B,R,3,7.37,7.3889,0.0188999999999995,32.5,829.576810088555,0.227827004927753
DP,2016-06-22,C,T,4,7.4796,10.1897,2.7101,32.5,829.576810088555,32.6684638124191
DP,2016-06-22,C,R,5,7.461,31.8626,24.4016,32.5,829.576810088555,294.145155737842
DP,2016-06-22,A,T,6,7.4787,7.5438,0.0651000000000002,32.5,829.576810088555,0.784737461417839
DP,2016-06-22,A,R,7,7.4915,7.5273,0.0358000000000001,32.5,829.576810088555,0.431545332085386
DP,2016-06-22,A,C,8,7.4505,32.9637,25.5132,32.5,829.576810088555,307.544758842482
